,size_bytes,positives,total_engines,detection_ratio,times_submitted,unique_sources,community_reputation,malicious_votes,harmless_votes,itw_url_count
size_bytes,1.0,-0.099,-0.015,-0.092,-0.046,0.077,,,,0.223
positives,-0.099,1.0,0.224,0.975,-0.107,-0.208,,,,-0.051
total_engines,-0.015,0.224,1.0,0.003,-0.074,-0.103,,,,0.05
detection_ratio,-0.092,0.975,0.003,1.0,-0.097,-0.192,,,,-0.055
times_submitted,-0.046,-0.107,-0.074,-0.097,1.0,0.637,,,,-0.038
unique_sources,0.077,-0.208,-0.103,-0.192,0.637,1.0,,,,0.579
community_reputation,,,,,,,,,,
malicious_votes,,,,,,,,,,
harmless_votes,,,,,,,,,,
itw_url_count,0.223,-0.051,0.05,-0.055,-0.038,0.579,,,,1.0
